Region,Country,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09
Maharashtra,India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90787,97648,97648,101141,104568,110744,113445,116752,120504,124331,128205,132075,135796,139010,142900,147741,152765,159133,164626,169883,174761,180298,186626,192990,200064,206619,211987,217121,223724,230599,238461,246600,254427,260924,267665,275640,284281,292589,300937,310455,318695,327031,337607,347502,357117,366368,375799,383723,383723,400651,411798,422118,431719,441228,450196,457956,468265,479779,490262,503084,515332,524513,535601,548313,560126,572734,584754,595865,604358,615477,628642,643289,657450,671942,682383,693398,703823,718711,733568,747995,764281,780689,792541,808306,825739,843844,863062,883862,907212,923641,943772,967349,990795,1015681,1037765,1060308,1060308,1097856,1121221,1145840,1167496,1188015,1208642,1224380,1242770,1263799,1282963,1300757,1321176,1339232,1351153,1366129,1384446,1400922,1416513,1430861,1443409,1453653,1465911,1480489,1493884,1506018,1517434,1528226,1535315,1543837,1554389,1564615,1576062,1586321,1595381,1601365,1609516,1617658,1625197,1632544,1638961,1645020,1648665,1654028,1660766,1666668,1672858,1678406,1683775,1687784,1692693,1698198,1703444,1710314,1714273,1719858,1723135
Sao Paulo,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69859,73739,76871,80558,82161,83625,86017,89483,95865,101556,107142,109698,111296,118295,123483,129200,134565,140549,143073,144593,150138,156316,162520,167900,172875,178202,181460,190285,191517,192628,211658,211658,219185,221973,229475,238822,248587,258508,265581,271737,275145,281380,289935,302179,310702,312530,320179,323070,332708,341365,349715,359110,366890,371997,374607,386607,393176,402048,407415,412027,415049,416434,422669,439446,452007,463218,479481,483982,487654,487654,514197,529006,542304,552318,558685,560218,575589,585265,598670,608379,621731,627126,628415,639562,655181,674455,686122,697530,699493,702665,711530,721377,730828,735960,749244,754129,756480,765670,776135,784453,796209,801422,803404,804342,814375,826331,837978,845016,853085,855722,857330,858783,866576,874754,882809,890690,892257,893349,901271,909428,916821,924532,931673,935300,937332,945422,945422,958240,964921,970888,972237,973142,979519,985628,991725,991725,1003429,1003902,1004579,1010839,1016755,1022404,1028190,1034816,1037660,1038344,1039029,1045060,1051613,1057240,1062634,1062634,1064039,1068962,1073261,1076939,1083641,1089255,1091980,1092843,1098207,1103582,1108860,1113788,1116127,1117147,1117795,1118544,1123299,1123299,1125936,1125936,1125936,1125936
England,United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156018,156410,156782,157074,157293,157545,157797,158078,158401,158725,158940,159118,159328,159435,159696,159958,160150,160292,160391,160587,160764,243910,244412,244991,245483,245814,246386,246992,247609,248089,248895,249510,250007,250379,250885,251482,252117,252913,253585,254120,254519,255038,255740,256428,257138,257859,258475,259022,259722,260534,261348,262070,262746,263602,264219,265023,265849,266645,267324,268312,269011,269011,270971,270971,270971,274248,275200,275834,276809,277516,278551,279459,280519,281457,282215,283280,284155,285505,286611,287502,288989,290138,291179,292418,293925,295594,297071,299647,302175,304269,306555,309133,312276,315284,318121,320380,323029,326425,329213,332984,336622,339901,343655,347842,352925,358557,364280,368919,373719,377035,382686,388342,393931,398728,409534,430843,441528,454176,465704,480656,491428,504056,514439,526086,540396,556528,572667,584843,598142,612846,629211,647025,669973,687327,704443,723775,740262,758145,777774,799019,818759,839580,858444,879046,894906,912236,934099,955236,975504,997379,1015672,1034708
Texas,United States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,4,4,4,10,10,10,10,11,11,11,11,11,12,16,19,19,23,24,31,33,41,58,69,80,87,106,166,248,386,547,639,728,857,1132,1542,1971,2381,2722,3065,3588,4402,4952,5773,6566,7117,8150,8968,9897,11372,12291,13208,13776,14487,15303,16106,16928,18131,18927,19441,20035,20949,21769,22706,23650,24494,25209,25963,26868,27839,29072,30342,31433,32299,33134,34286,35441,36682,37943,38849,40037,40988,42348,43822,45169,46987,47866,48828,49788,51080,52369,53441,54369,55451,56050,56490,57573,59105,60820,62073,63396,64974,66081,67966,69546,71330,73323,75077,75948,77326,79271,81771,83772,86031,88120,89542,91726,95973,99466,102677,107322,111594,114886,119646,124726,131310,136783,142582,148639,152866,158756,166703,174826,182260,190049,195707,200137,209350,219164,229116,240025,249948,258280,264811,273732,284638,296478,311516,321254,330059,338036,345672,355594,366561,376104,383662,391609,395738,402295,412849,421891,432134,443090,448224,454759,463541,473105,482467,490102,498266,504605,510392,517182,524898,531825,538805,547670,555343,563464,569058,577220,582623,587900,593405,599156,602144,607621,613707,619836,623647,628492,633834,636547,640317,645534,649844,653321,658789,663246,665338,666209,670427,675149,677888,683295,685921,689941,694547,701509,706034,710423,713652,716914,722460,744736,749069,753551,758379,761644,764642,770539,773679,780543,784027,788066,793793,799242,802271,806248,810906,816848,821406,825912,829367,832342,836389,841863,847734,853517,859108,863534,868917,873556,879419,885845,891074,898708,906033,909968,916562,923828,931576,938624,945280,952758,957108,965029,973517,984148,993096,1003056,1008985,1015920,1025664
California,United States,0,0,0,0,1,2,2,2,2,2,3,3,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,9,9,9,11,11,26,26,27,28,33,38,45,55,67,81,100,112,172,179,202,252,320,381,478,588,732,893,1067,1283,1544,1851,2240,2644,3183,4060,4915,5566,6321,7421,8583,9857,11190,12569,13796,15202,16361,17540,19043,20191,21366,22421,23323,24334,25758,27107,28142,29398,30829,31544,33862,35844,37573,39534,41368,42590,43691,45208,46570,48904,50470,52318,53753,55072,56333,58848,60787,62481,64616,66824,68051,69514,71150,73218,74947,77015,78933,80366,81943,83981,86125,88488,90801,92815,94743,97017,99924,101873,104071,107043,110100,113114,115643,118081,120407,122917,126510,129147,131997,134287,137245,140139,143709,147285,150434,152953,155662,159131,163381,167135,170843,174854,178807,184620,191039,195889,201413,207027,211453,216955,223995,232153,239764,248198,256298,265176,271587,277869,287766,296304,303516,311505,320030,327676,336206,346593,355497,364761,374922,383194,391460,400195,410366,422528,433175,443096,453327,459338,467103,474951,486039,494269,502273,509507,515937,522235,527258,532776,541013,548142,556158,563244,574267,586078,595097,603212,613243,621981,628508,634991,640499,646742,653401,659991,665325,669944,676236,682320,687612,692962,698389,702499,706589,712541,716628,722035,727398,732691,737073,740233,742689,746113,749196,753017,757125,760581,763389,767062,769917,773318,776944,781436,785076,788077,792217,795077,798350,801671,805733,809214,811698,814796,817939,821125,824306,828364,831494,834635,837720,840322,843732,847384,851228,854302,857076,859959,863614,867094,870380,874101,876257,878394,882665,887093,890153,896424,902325,906644,909344,913699,918627,922680,926893,931826,935248,938883,944141,949383,954624,960884,967597,972801,978844,985598
Karnataka,India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5921,6245,6245,6516,6824,7213,7530,7734,7944,8281,8697,9150,9399,9721,10118,10560,11005,11923,13190,14295,15242,16514,18016,19710,21549,23474,25317,26815,28877,31105,33418,36216,38843,41581,44077,47253,51422,55115,59652,63772,67420,71069,75833,80863,85870,90942,96141,101465,101465,112504,118632,124115,129287,134819,139571,145830,151449,158254,164924,172102,178087,182354,188611,196494,203200,211108,219926,226966,233283,240948,249590,256975,264546,271876,277814,283665,291826,300406,309792,318752,327076,335928,342423,351481,361341,370206,379486,389232,398551,404324,412190,421730,430947,440411,449551,459445,459445,475265,484990,494356,502982,511346,519537,526876,533850,540847,548557,557212,566023,575566,582458,592911,601767,611837,620630,630516,640661,647712,657705,668652,679356,690269,700786,710309,717915,726106,735371,743848,751390,758574,765586,770604,776901,782773,788551,793907,798378,802817,805947,809638,812784,816809,820398,823412,827064,829640,832396,835773,838929,841889,844147,846887,848850
Florida,United States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,4,7,12,13,14,23,26,46,70,70,109,141,210,326,434,564,764,1000,1222,1467,1971,2478,3198,4038,4943,5695,6742,7769,9000,10260,11537,12342,13621,14739,15690,16819,17960,18978,19855,21011,21620,22526,23332,24745,25484,26306,27050,27861,28301,29640,30525,30831,31520,32130,32838,33185,33683,34720,35455,36070,36889,37431,37994,38820,39191,39993,40588,40974,41915,42394,43202,44130,44803,45580,46434,46936,47463,48667,49443,50119,50859,51738,52247,52626,53277,54489,55416,56155,56822,57439,58756,60175,61480,62750,63930,64896,65992,67363,69061,70963,73544,75560,77318,80101,82711,85918,89740,93789,97283,100209,103495,109006,114010,122952,132537,141067,146333,152426,158989,169098,178586,190044,200103,206439,213786,223775,232710,244143,254503,269803,282427,291621,301802,315767,327233,337561,350039,360386,369826,379611,389860,402304,414503,423847,432739,441969,451415,461371,470378,480020,487124,491876,497322,502731,510381,518067,526569,532798,536953,542784,550893,557129,563277,569629,573408,576086,579924,584039,588594,593278,597589,600563,602821,605494,608714,611983,615798,618995,621578,623463,631032,633434,637005,640203,643859,646423,648261,650084,652140,654723,658373,661563,663986,665722,668838,671193,674448,677652,681225,683746,685431,687901,690491,693032,695879,698674,700556,701294,704560,706508,709136,711796,714583,716451,717866,720117,722699,726005,728913,728913,734483,736016,738741,741624,744980,748429,752473,755012,756719,760381,762525,768083,771772,776243,778628,782005,786303,790418,794616,800208,802539,807404,812055,816692,821115,827372,832617,837069,843889,847813
Andhra Pradesh,India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5070,5429,5429,5680,5965,6456,6841,7071,7518,7961,8452,8999,9372,10002,10331,10884,11489,12285,13241,13891,14595,15252,16097,16934,17699,18697,20019,21197,22259,23814,25422,27235,29168,31103,33019,35451,38044,40646,44609,49650,53724,58668,64713,72711,80858,88671,96298,102349,102349,120390,130557,140933,150209,158764,166586,176333,186461,196789,206960,217040,227860,235525,244549,254146,264142,273085,281817,289829,296609,306261,316003,325396,334940,345216,353111,361712,361712,382469,393090,403616,414164,424767,434771,445139,455531,465730,476506,487331,498125,506493,517094,527512,537687,547686,557587,567123,567123,583925,592760,601462,609558,617776,625514,631749,639302,646530,654385,661458,668751,675674,681161,687351,693484,700235,706790,713014,719256,723512,729307,734427,739719,744864,750517,755727,758951,763573,767465,771503,775470,779146,783132,786050,789553,793299,796919,800684,804026,807023,808924,811825,814774,817679,820565,823348,825966,827882,830731,833208,835953,838363,840730,842967,844359
Tamil Nadu,India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34914,38716,38716,40698,42687,46504,48019,50193,52334,54449,56845,59377,62087,64603,67468,70977,74622,78335,82275,86224,90167,94049,98392,102721,107001,111151,114978,118594,122350,126581,130261,134226,138470,142798,147324,151820,156369,160907,165714,170693,175678,180643,186492,192964,199749,206737,213723,220716,220716,234114,239978,245859,251738,257613,263222,268285,273460,279144,285024,290907,296901,302815,308649,314520,320355,326245,332105,338055,343945,349654,355449,361435,367430,373410,379385,385352,391303,397261,403242,409238,415590,422085,428041,433969,439959,445851,451827,457697,463480,469256,474940,480524,486052,491571,497066,502759,502759,514208,519860,525420,530908,536477,541993,547337,552674,557999,563691,569370,575017,580808,586397,591943,597602,603290,608885,614507,619996,625391,630408,635855,640943,646128,651370,656385,661264,665930,670392,674802,679191,683486,687400,690936,694030,697116,700193,703250,706136,709005,711713,714235,716751,719403,722011,724522,727026,729507,731942,734429,736777,739147,741488,743822,746079
New York,United States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,11,22,44,89,106,142,173,217,326,421,610,732,950,1375,2387,4161,7113,10371,15188,20899,25704,33117,39058,44746,53517,59783,67504,76211,84364,93360,103689,115963,124085,133389,141703,151271,162036,172830,182990,191425,197973,205375,217130,225761,233293,240542,246741,251608,255932,261591,267932,276218,286901,292914,296991,300276,304994,309696,313575,318134,321833,324357,326659,329405,332931,335804,338519,340657,342267,343705,345828,348192,350951,353136,355037,356278,357757,359235,361313,362991,364745,366346,367625,368669,369801,371559,373108,374471,375575,376520,377881,378924,379977,381019,382102,382879,383591,384281,384945,385669,386490,387402,388096,388719,389349,389910,390536,391330,392037,392702,393257,393855,394430,395168,395972,396669,397293,397684,398142,398770,399642,400561,401286,401822,402338,402928,403619,404207,404997,405724,406403,406962,407875,408709,409476,410254,411006,411515,412034,412889,413595,414405,415163,415911,416443,417056,417591,418302,419081,419723,420477,421008,421550,422296,422935,423629,424349,425055,425568,426046,426713,427419,428155,428879,429617,430226,430636,431298,431924,432523,433230,433881,434462,434866,435495,436063,436852,437487,438122,438831,439480,440237,440947,441835,442698,443497,444226,444751,445308,445881,446637,447498,448347,449072,449658,450425,451078,451971,452764,453747,454612,455187,455938,456604,457557,458466,459472,460340,461176,462364,463369,464752,466353,468081,469307,470244,471638,472994,474829,476422,477870,479013,480045,481436,482671,484135,485838,487626,489016,490015,491216,493245,494874,496510,498568,500201,501393,503387,505416,507913,510171,512223,514482,516114,518431,520557,523559,526767,530354,533784,536933
